id,country,startingPop,area,area,,,
148,Latvia,1855735,"64,559 sq_km","64,559 ",,,
149,Bahrain,1775452,765 sq_km,765 ,,,
150,Equatorial Guinea,1477483,"28,051 sq_km","28,051 ",,,
151,Trinidad And Tobago,1405746,"5,130 sq_km","5,130 ",,,
152,Timor Leste,1358744,"14,874 sq_km","14,874 ",,,
153,Estonia,1324323,"45,227 sq_km","45,227 ",,,
154,Mauritius,1274295,"2,040 sq_km","2,040 ",,,
155,Cyprus,1220541,"9,251 sq_km","9,251 ",,,
156,Djibouti,1010377,"23,200 sq_km","23,200 ",,,
157,Fiji,906570,"18,272 sq_km","18,272 ",,,
158,Reunion,905350,"2,511 sq_km","2,511 ",,,
159,Comoros,899658,"1,862 sq_km","1,862 ",,,
160,Guyana,792481,"214,969 sq_km","214,969 ",,,
161,Bhutan,784855,"38,394 sq_km","38,394 ",,,
162,Solomon Islands,714126,"28,896 sq_km","28,896 ",,,
163,Macau,663998,30 sq_km,30 ,,,
164,Luxembourg,640202,"2,586 sq_km","2,586 ",,,
165,Montenegro,628053,"13,812 sq_km","13,812 ",,,
166,Western Sahara,620280,"266,000 sq_km","266,000 ",,,
167,Suriname,594817,"163,820 sq_km","163,820 ",,,
168,Cape Verde,565346,"4,033 sq_km","4,033 ",,,
169,Maldives,546203,300 sq_km,300 ,,,
170,Malta,443646,316 sq_km,316 ,,,
171,Brunei,443903,"5,765 sq_km","5,765 ",,,
172,Belize,409224,"22,966 sq_km","22,966 ",,,
173,Bahamas,399068,"13,943 sq_km","13,943 ",,,
174,Martinique,374314,"1,128 sq_km","1,128 ",,,
175,Iceland,344646,"103,000 sq_km","103,000 ",,,
176,Vanuatu,318774,"12,189 sq_km","12,189 ",,,
177,New Caledonia,289727,"18,575 sq_km","18,575 ",,,
178,Barbados,287927,430 sq_km,430 ,,,
179,French Polynesia,283392,"4,167 sq_km","4,167 ",,,
180,Mayotte,283394,374 sq_km,374 ,,,
181,Sao Tome And Principe,225954,964 sq_km,964 ,,,
182,Samoa,201011,"2,842 sq_km","2,842 ",,,
183,Saint Lucia,184831,616 sq_km,616 ,,,
184,Guam,171041,549 sq_km,549 ,,,
185,Curacao,165229,444 sq_km,444 ,,,
186,Kiribati,122470,811 sq_km,811 ,,,
187,Micronesia,116901,702 sq_km,702 ,,,
188,Grenada,113237,344 sq_km,344 ,,,
189,Aruba,107204,180 sq_km,180 ,,,
190,Tonga,107407,747 sq_km,747 ,,,
191,United States Virgin Islands,104010,347 sq_km,347 ,,,
192,Seychelles,99124,452 sq_km,452 ,,,
193,Antigua And Barbuda,99162,442 sq_km,442 ,,,
194,Andorra,77355,468 sq_km,468 ,,,
