id,country,startingPop,area,startingArmy
196,"Cayman Islands",66497,"264 ",NULL
197,Bermuda,62090,"54 ",NULL
198,"Marshall Islands",59610,"181 ",NULL
199,"Northern Mariana Islands",57917,"464 ",NULL
200,Greenland,56877,"2,166,086 ",NULL
201,"American Samoa",55100,"199 ",NULL
202,"Saint Kitts And Nevis",53544,"261 ",NULL
203,"Faroe Islands",49049,"1,393 ",NULL
204,"Sint Maarten",43412,"34 ",NULL
205,Monaco,39511,"2 ",NULL
206,"Saint Martin",39234,"53 ",NULL
207,"Turks And Caicos Islands",39231,"948 ",NULL
208,Liechtenstein,38250,"160 ",NULL
209,"San Marino",34017,"61 ",NULL
210,Gibraltar,33698,"6 ",NULL
211,Palau,18169,"459 ",NULL
212,"Cook Islands",17565,"236 ",NULL
213,Anguilla,15117,"91 ",NULL
214,Tuvalu,11931,"26 ",NULL
215,"Wallis And Futuna",11094,"142 ",NULL
216,Nauru,10876,"21 ",NULL
217,"Saint Barthelemy",9907,"21 ",NULL
218,"Saint Pierre And Miquelon",5766,"242 ",NULL
219,Montserrat,4977,"102 ",NULL
220,"Falkland Islands",3533,"12,173 ",NULL
221,Niue,1619,"260 ",NULL
222,Tokelau,1373,"12 ",NULL
223,"Vatican City",800,"1 ",NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL
